bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,3611,0.03378565494322902,0.004202926082656061,0.02958272886057296
1,0.06666666666666667,0.13333333333333333,135,0.22962962962962963,0.095856248033338,0.13377338159629162
2,0.13333333333333333,0.2,89,0.20224719101123595,0.16389289383890382,0.03835429717233213
3,0.2,0.26666666666666666,63,0.23809523809523808,0.23470137934046037,0.003393858754777712
4,0.26666666666666666,0.3333333333333333,49,0.2653061224489796,0.3001797787322157,0.034873656283236076
5,0.3333333333333333,0.4,35,0.42857142857142855,0.3721356553145352,0.05643577325689336
6,0.4,0.4666666666666667,34,0.47058823529411764,0.43208763620985136,0.038500599084266285
7,0.4666666666666667,0.5333333333333333,40,0.525,0.49830997103677144,0.026690028963228585
8,0.5333333333333333,0.6,36,0.5555555555555556,0.5686477204822586,0.013092164926703065
9,0.6,0.6666666666666666,53,0.6415094339622641,0.6320566529964097,0.009452780965854446
10,0.6666666666666666,0.7333333333333333,38,0.6842105263157895,0.702908469554972,0.018697943239182502
11,0.7333333333333333,0.8,43,0.6511627906976745,0.7677887556802909,0.11662596498261646
12,0.8,0.8666666666666667,74,0.7567567567567568,0.8327653118016829,0.0760085550449261
13,0.8666666666666667,0.9333333333333333,122,0.8852459016393442,0.9066154752056005,0.02136957356625624
14,0.9333333333333333,1.0,3578,0.9603130240357741,0.995871449282998,0.03555842524722386
