bin,left,right,count,accuracy,confidence,gap
0,0.0,8.42470547931361e-07,534,0.020599250936329586,2.2472907722558037e-07,0.02059902620725236
1,8.42470547931361e-07,7.643995782228108e-06,533,0.0225140712945591,3.224435589196643e-06,0.022510846858969903
2,7.643995782228108e-06,5.2710860765497e-05,533,0.016885553470919325,2.4115697619054736e-05,0.01686143777330027
3,5.2710860765497e-05,0.00026506277369708843,534,0.024344569288389514,0.00013293477539287098,0.02421163451299664
4,0.00026506277369708843,0.0014583250457837257,533,0.039399624765478425,0.0006757932597098963,0.03872383150576853
5,0.0014583250457837257,0.010246092847132264,533,0.04127579737335835,0.004579758837708329,0.03669603853565002
6,0.010246092847132264,0.12419353673259716,533,0.1125703564727955,0.04422558324362423,0.06834477322917126
7,0.12419353673259716,0.8350911076772611,534,0.45692883895131087,0.4504461285215767,0.00648271042973414
8,0.8350911076772611,0.9878668173649265,533,0.8911819887429644,0.9478289720680051,0.0566469833250407
9,0.9878668173649265,0.9984520087456554,533,0.9587242026266416,0.9948953072192634,0.03617110459262185
10,0.9984520087456554,0.9997153587408123,533,0.9606003752345216,0.9993032346165716,0.03870285938204998
11,0.9997153587408123,0.9999411157070759,534,0.9625468164794008,0.9998537770564602,0.0373069605770594
12,0.9999411157070759,0.9999893097335292,533,0.9643527204502814,0.9999717221660969,0.035619001715815446
13,0.9999893097335292,0.9999990067382356,533,0.9699812382739212,0.9999957739204671,0.03001453564654588
14,0.9999990067382356,1.0,534,0.9812734082397003,0.9999997388489581,0.01872633060925777
