Model,Acc_Mean,Acc_Std
MLP (Adam),0.9577916666666667,0.0027907336749400653
KNN (k=5),0.921,0.0017350552344714012
SVM (RBF),0.5149166666666667,0.008462129689911923
MLP (SGD),0.503,0.010868213080150554
LogisticRegression,0.50125,0.0048286615352727226
Decision Tree (Gini),0.4996666666666666,0.009725039274413675
RandomForest,0.49779166666666663,0.007220005001537197
