Model,Acc_Mean,Acc_Std
MLP (Adam),0.9585000000000001,0.0015835570912425235
KNN (k=5),0.6945714285714285,0.00782102086347677
SVM (RBF),0.5044642857142858,0.00617867464818817
LogisticRegression,0.5004642857142857,0.003540220793298937
MLP (SGD),0.4994642857142857,0.005011466443903166
RandomForest,0.49889285714285714,0.004990296707059602
Decision Tree (Gini),0.4973214285714286,0.00604300067374291
