Model,Acc_Mean,Acc_Std
MLP (Adam),0.8122,0.029382562856224786
MLP (SGD),0.506575,0.005605020071328919
RandomForest,0.5025999999999999,0.0025610056618445647
SVM (RBF),0.500075,0.0018751666592599027
LogisticRegression,0.49974999999999997,0.0040404207701673685
Decision Tree (Gini),0.49887499999999996,0.00888432608586607
KNN (k=5),0.47607499999999997,0.0034100953065860098
