bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,1734,0.0328719723183391,0.027921903447588433,0.0049500688707506645
1,0.06666666666666667,0.13333333333333333,435,0.029885057471264367,0.09213048622579492,0.062245428754530555
2,0.13333333333333333,0.2,127,0.007874015748031496,0.16282068096257865,0.15494666521454714
3,0.2,0.26666666666666666,48,0.0625,0.226101844380465,0.163601844380465
4,0.26666666666666666,0.3333333333333333,19,0.10526315789473684,0.29796526353297703,0.1927021056382402
5,0.3333333333333333,0.4,9,0.1111111111111111,0.364126476042352,0.2530153649312409
6,0.4,0.4666666666666667,3,0.3333333333333333,0.43643679152855697,0.10310345819522365
7,0.4666666666666667,0.5333333333333333,6,0.3333333333333333,0.4916814382053685,0.1583481048720352
8,0.5333333333333333,0.6,5,0.8,0.5682059167031037,0.23179408329689632
9,0.6,0.6666666666666666,16,0.75,0.6330872526560887,0.11691274734391133
10,0.6666666666666666,0.7333333333333333,34,1.0,0.702908539977136,0.297091460022864
11,0.7333333333333333,0.8,60,1.0,0.7681018429109765,0.2318981570890235
12,0.8,0.8666666666666667,138,0.9637681159420289,0.8381979492344747,0.12557016670755428
13,0.8666666666666667,0.9333333333333333,426,0.9694835680751174,0.9059569915867889,0.06352657648832849
14,0.9333333333333333,1.0,1740,0.9666666666666667,0.9718858284072571,0.00521916174059045
