bin,left,right,count,accuracy,confidence,gap
0,0.0,0.011292614321122775,320,0.021875,0.006447088438118453,0.015427911561881546
1,0.011292614321122775,0.019004510606115646,320,0.0375,0.015230758476425812,0.022269241523574186
2,0.019004510606115646,0.028111295867547428,320,0.028125,0.02310854401105608,0.005016455988943919
3,0.028111295867547428,0.039680505204238145,320,0.021875,0.0336586922865552,0.011783692286555202
4,0.039680505204238145,0.05660806043521659,320,0.05625,0.047213464172578976,0.009036535827421026
5,0.05660806043521659,0.0844783699447343,320,0.025,0.06873324001108609,0.04373324001108609
6,0.0844783699447343,0.16524154748312267,320,0.03125,0.1150783701189586,0.0838283701189586
7,0.16524154748312267,0.8361385034177339,320,0.5625,0.5300209514200638,0.03247904857993622
8,0.8361385034177339,0.9132440464126608,320,0.975,0.8836367080758002,0.09136329192419979
9,0.9132440464126608,0.9431863764413032,320,0.953125,0.9306941828105199,0.022430817189480146
10,0.9431863764413032,0.9604205408124782,320,0.975,0.9523329374193539,0.022667062580646102
11,0.9604205408124782,0.9726376109333372,320,0.965625,0.9669417792274692,0.0013167792274692003
12,0.9726376109333372,0.9808389619863429,320,0.959375,0.976974630172484,0.017599630172484004
13,0.9808389619863429,0.9887610536848763,320,0.975,0.9847304936682789,0.009730493668278939
14,0.9887610536848763,1.0,320,0.96875,0.9929109652944561,0.024160965294456105
