n,model,acc_mean,best_params
10,MLP,0.9609375,"{'clf__activation': 'relu', 'clf__alpha': np.float64(1.6463795672118065e-05), 'clf__batch_size': 128, 'clf__hidden_layer_sizes': (256,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': np.float64(0.0006670576360808649)}"
12,MLP,0.9627083333333333,"{'clf__activation': 'relu', 'clf__alpha': np.float64(0.00030985078744045716), 'clf__batch_size': 256, 'clf__hidden_layer_sizes': (256,), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': np.float64(0.000729138354884577)}"
14,MLP,0.9654910714285714,"{'clf__activation': 'relu', 'clf__alpha': np.float64(2.743335455551612e-05), 'clf__batch_size': 64, 'clf__hidden_layer_sizes': (384,), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': np.float64(0.0008325254412318439)}"
16,MLP,0.9436718749999999,"{'clf__activation': 'tanh', 'clf__alpha': np.float64(3.9313013316603606e-05), 'clf__batch_size': 128, 'clf__hidden_layer_sizes': (256, 256, 128), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': np.float64(0.0012695094153508013)}"
18,MLP,0.9470833333333333,"{'clf__activation': 'tanh', 'clf__alpha': np.float64(2.949870898355241e-05), 'clf__batch_size': 128, 'clf__hidden_layer_sizes': (384, 256), 'clf__learning_rate': 'adaptive', 'clf__learning_rate_init': np.float64(0.0012909794654157743)}"
20,MLP,0.8315000000000001,"{'clf__activation': 'tanh', 'clf__alpha': np.float64(8.36134850309184e-05), 'clf__batch_size': 64, 'clf__hidden_layer_sizes': (320, 256), 'clf__learning_rate': 'constant', 'clf__learning_rate_init': np.float64(0.0007486992842700146)}"
