bin,left,right,count,accuracy,confidence,gap
0,0.0,2.971357697917759e-07,427,0.03747072599531616,7.456923573999999e-08,0.03747065142608042
1,2.971357697917759e-07,3.2191164126584437e-06,427,0.01873536299765808,1.270582539048837e-06,0.01873409241511903
2,3.2191164126584437e-06,1.9503445448138078e-05,426,0.03990610328638498,8.843095856632996e-06,0.03989726019052835
3,1.9503445448138078e-05,9.357688158829774e-05,427,0.01405152224824356,4.735654007153778e-05,0.014004165708172022
4,9.357688158829774e-05,0.0005786504982093334,427,0.03747072599531616,0.00025706506881642056,0.03721366092649974
5,0.0005786504982093334,0.0038919427154667538,426,0.04225352112676056,0.001678427108443794,0.04057509401831677
6,0.0038919427154667538,0.08783851248261625,427,0.07728337236533958,0.022648518199626717,0.054634854165712864
7,0.08783851248261625,0.9271777644750372,426,0.5258215962441315,0.5255505741223718,0.00027102212175966756
8,0.9271777644750372,0.9961622878261011,427,0.9414519906323185,0.9795314115822552,0.03807942094993666
9,0.9961622878261011,0.9993711438575512,427,0.9648711943793911,0.9983003479383857,0.03342915355899467
10,0.9993711438575512,0.9998671767296519,426,0.9671361502347418,0.9996798811009684,0.03254373086622664
11,0.9998671767296519,0.9999768029650015,427,0.9672131147540983,0.9999346056980423,0.03272149094394394
12,0.9999768029650015,0.9999959406078495,426,0.9788732394366197,0.9999888194933402,0.02111558005672043
13,0.9999959406078495,0.9999996362986815,427,0.9648711943793911,0.9999983995852171,0.03512720520582602
14,0.9999996362986815,1.0,427,0.9718969555035128,0.9999999033527803,0.02810294784926748
