bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,2967,0.03774856757667678,0.003034823133757704,0.034713744442919074
1,0.06666666666666667,0.13333333333333333,59,0.1694915254237288,0.09823250498160101,0.0712590204421278
2,0.13333333333333333,0.2,51,0.23529411764705882,0.16423731890428098,0.07105679874277784
3,0.2,0.26666666666666666,36,0.3333333333333333,0.23339291290088415,0.09994042043244916
4,0.26666666666666666,0.3333333333333333,29,0.41379310344827586,0.30636786188657655,0.1074252415616993
5,0.3333333333333333,0.4,25,0.48,0.37339735693925535,0.10660264306074463
6,0.4,0.4666666666666667,14,0.5714285714285714,0.4293102481867961,0.1421183232417753
7,0.4666666666666667,0.5333333333333333,18,0.4444444444444444,0.4989693079957619,0.05452486355131747
8,0.5333333333333333,0.6,16,0.625,0.5643973739098503,0.06060262609014966
9,0.6,0.6666666666666666,19,0.5263157894736842,0.6337608592188181,0.1074450697451339
10,0.6666666666666666,0.7333333333333333,25,0.72,0.6987655305834286,0.021234469416571367
11,0.7333333333333333,0.8,37,0.5135135135135135,0.7712993033745839,0.25778578986107037
12,0.8,0.8666666666666667,47,0.8297872340425532,0.8366156373718274,0.006828403329274257
13,0.8666666666666667,0.9333333333333333,82,0.8170731707317073,0.9070063123323171,0.08993314160060983
14,0.9333333333333333,1.0,2975,0.9653781512605042,0.9970437050942329,0.03166555383372871
