bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,3368,0.04602137767220903,0.002571165130638896,0.04345021254157013
1,0.06666666666666667,0.13333333333333333,68,0.17647058823529413,0.09663208775796446,0.07983850047732967
2,0.13333333333333333,0.2,45,0.4222222222222222,0.16099744921499937,0.26122477300722285
3,0.2,0.26666666666666666,32,0.40625,0.22946922867422692,0.17678077132577308
4,0.26666666666666666,0.3333333333333333,30,0.43333333333333335,0.3052085218940743,0.12812481143925902
5,0.3333333333333333,0.4,35,0.34285714285714286,0.36490975606521187,0.022052613208069005
6,0.4,0.4666666666666667,23,0.4782608695652174,0.424946209105821,0.053314660459396424
7,0.4666666666666667,0.5333333333333333,27,0.4444444444444444,0.507374273212971,0.0629298287685266
8,0.5333333333333333,0.6,27,0.5555555555555556,0.5668100624684955,0.011254506912939943
9,0.6,0.6666666666666666,26,0.6153846153846154,0.6288713841347615,0.013486768750146094
10,0.6666666666666666,0.7333333333333333,31,0.6129032258064516,0.7001674414772354,0.0872642156707838
11,0.7333333333333333,0.8,35,0.6285714285714286,0.765340423103169,0.1367689945317404
12,0.8,0.8666666666666667,52,0.6923076923076923,0.8355906721153361,0.14328297980764382
13,0.8666666666666667,0.9333333333333333,80,0.8125,0.9035710770813964,0.09107107708139639
14,0.9333333333333333,1.0,3321,0.9572417946401687,0.9973447224109923,0.04010292777082358
