bin,left,right,count,accuracy,confidence,gap
0,0.0,2.3185502770546557e-08,480,0.035416666666666666,4.735781698133486e-09,0.03541666193088497
1,2.3185502770546557e-08,3.171656918126808e-07,480,0.027083333333333334,1.2391778174752032e-07,0.027083209415551587
2,3.171656918126808e-07,3.2140324396635483e-06,480,0.03333333333333333,1.3268516745506788e-06,0.03333200648165878
3,3.2140324396635483e-06,2.3415338398135494e-05,480,0.022916666666666665,9.781404834762376e-06,0.022906885261831902
4,2.3415338398135494e-05,0.00017979183717567226,480,0.027083333333333334,7.689872048472881e-05,0.027006434612848604
5,0.00017979183717567226,0.0022483826288692333,480,0.052083333333333336,0.0008173489539568496,0.05126598437937649
6,0.0022483826288692333,0.06240300269092493,480,0.12291666666666666,0.016058003203089727,0.10685866346357693
7,0.06240300269092493,0.9060135627288829,480,0.48125,0.4731333487074777,0.008116651292522314
8,0.9060135627288829,0.996929066132726,480,0.8791666666666667,0.9762627788069846,0.09709611214031799
9,0.996929066132726,0.9997391314622084,480,0.9604166666666667,0.9989372110076093,0.03852054434094265
10,0.9997391314622084,0.9999677801853574,480,0.9583333333333334,0.9998953454046406,0.041562012071307275
11,0.9999677801853574,0.9999950520684883,480,0.9770833333333333,0.9999859181446146,0.022902584811281268
12,0.9999950520684883,0.999999386648084,480,0.9645833333333333,0.9999979537682784,0.03541462043494503
13,0.999999386648084,0.9999999585311143,480,0.9729166666666667,0.9999997769521843,0.027083110285517686
14,0.9999999585311143,1.0,480,0.9833333333333333,0.9999999906227838,0.016666657289450493
