Model,Acc_Mean,Acc_Std
MLP (Adam),0.7636944444444446,0.12682661076261112
MLP (SGD),0.5041111111111112,0.004870704818822289
RandomForest,0.5014444444444445,0.005170398890932693
Decision Tree (Gini),0.5004166666666666,0.004073968853860093
SVM (RBF),0.5001111111111112,0.0067913116244395
LogisticRegression,0.49880555555555556,0.0025147711772791604
KNN (k=5),0.46597222222222223,0.004291644192677589
