Model,Acc_Mean,Acc_Std
MLP (Adam),0.9177500000000001,0.004702683741758526
SVM (RBF),0.5020312499999999,0.00391311896062463
MLP (SGD),0.499,0.007803494810019422
Decision Tree (Gini),0.49762500000000004,0.006177232642939715
RandomForest,0.4970625,0.006369482906798629
LogisticRegression,0.49646875,0.004351050519702114
KNN (k=5),0.458,0.004635545410197171
