n,ensemble_size,jobs,wall_train_sec,member_time_sum_sec,member_time_mean_sec,member_time_std_sec,effective_speedup,train_acc,test_acc,test_f1,test_auc,test_log_loss,test_brier,test_disagreement,test_prob_variance,test_ece_uniform,test_mce_uniform,test_ece_adaptive,test_mce_adaptive
10,5,14,2.7662896249676123,4.918036041082814,0.9836072082165629,0.09645153752641289,1.7778456733865655,0.9625,0.95725,0.957345971563981,0.9539188963175168,0.23624907838055645,0.05373466041310452,0.00625,0.007809602437961582,0.0999728456739538,0.4745484581212067,0.08654423099884825,0.16690455726483924
12,5,14,4.797335040988401,15.727038164972328,3.1454076329944654,0.2598627718715101,3.278286388296963,0.9619270833333333,0.9679166666666666,0.9681686647374949,0.9684143691415976,0.17140064447152645,0.03650577054714405,0.00625,0.0025773114144148077,0.05128677058536488,0.4006520666564798,0.043575393043477496,0.11409579930632964
14,5,14,8.460558207938448,35.58234474796336,7.116468949592672,0.7234454192291135,4.2056734169829175,0.9678125,0.9666071428571429,0.9664333153832346,0.9665164429127413,0.17469819894313807,0.037407710567903485,0.010357142857142856,0.0028517718529952572,0.050006045593241934,0.5027218938580018,0.04036295384032077,0.10934738340289554
16,5,14,26.41767479199916,117.6110126679996,23.52220253359992,1.6403032392649952,4.45198200046051,0.9711328125,0.9690625,0.9692642036634586,0.9728157238021676,0.1529022029560644,0.03258288384005395,0.0721875,0.008774899767473324,0.02335471187476931,0.3673400997524473,0.02251339181202265,0.07359993696052794
18,5,14,49.618528458988294,193.26087283203378,38.65217456640676,6.400209869205241,3.8949335829612854,0.9976041666666666,0.9723611111111111,0.9723265192601863,0.9718249206655031,0.16482488125171332,0.030934899491523938,0.1123611111111111,0.013111217045049047,0.035173787234586966,0.539076887128835,0.029068640408673654,0.09085533530533907
20,5,14,14.497918416047469,54.725305333849974,10.945061066769995,2.731390862327889,3.774700875214995,0.9735625,0.962,0.9616452182689882,0.9716995266815218,0.2223414989829113,0.052656188192981915,0.323875,0.03203898173862697,0.09779697288434318,0.3032359689764774,0.08932211134580607,0.2525146084922611
