n,ensemble_size,train_acc,test_acc,test_f1,test_auc,test_log_loss,test_brier,test_disagreement,test_prob_variance
10,5,0.9625,0.95725,0.957345971563981,0.9539188963175168,0.23624907838055645,0.05373466041310452,0.00625,0.007809602437961582
12,5,0.9619270833333333,0.9679166666666666,0.9681686647374949,0.9684143691415976,0.17140064447152648,0.03650577054714405,0.00625,0.002577311414414808
14,5,0.9678125,0.9666071428571429,0.9664333153832346,0.9665164429127413,0.17469819894313807,0.037407710567903485,0.010357142857142856,0.0028517718529952577
16,5,0.9702734375,0.96953125,0.9697251979506288,0.971747611396155,0.15416045795309943,0.03269515154311669,0.06859375,0.008354265816655848
18,5,0.9979513888888889,0.9726388888888889,0.9726046446947574,0.9720000750000057,0.1653402736267233,0.03077256082063125,0.11291666666666667,0.013096312785294138
20,5,0.9735625,0.962,0.9616452182689882,0.9716995266815218,0.22234149898291145,0.05265618819298196,0.323875,0.03203898173862709
