bin,left,right,count,accuracy,confidence,gap
0,0.0,0.0166877317771084,267,0.04868913857677903,0.011717591981842237,0.03697154659493679
1,0.0166877317771084,0.025645279450835397,267,0.052434456928838954,0.021342382768046224,0.03109207416079273
2,0.025645279450835397,0.03614593794184341,266,0.03759398496240601,0.030640147426710198,0.006953837535695815
3,0.03614593794184341,0.04775550537374335,267,0.033707865168539325,0.04172344264516823,0.008015577476628906
4,0.04775550537374335,0.06584131257170335,267,0.026217228464419477,0.05625348576632595,0.030036257301906476
5,0.06584131257170335,0.09210711450348384,266,0.045112781954887216,0.07743358138542653,0.03232079943053931
6,0.09210711450348384,0.1655866130155667,267,0.033707865168539325,0.11931815093297907,0.08561028576443974
7,0.1655866130155667,0.9125648174018833,266,0.5413533834586466,0.5784788825324952,0.037125499073848656
8,0.9125648174018833,0.9501569230954093,267,0.9588014981273408,0.9341926973242366,0.024608800803104236
9,0.9501569230954093,0.9667482381945922,267,0.9325842696629213,0.9591578478827651,0.026573578219843852
10,0.9667482381945922,0.9763898753785126,266,0.9511278195488722,0.9721852211293452,0.02105740158047309
11,0.9763898753785126,0.9822164183701166,267,0.9550561797752809,0.9794107656090859,0.02435458583380501
12,0.9822164183701166,0.9873849009443638,266,0.9473684210526315,0.9848142728878627,0.03744585183523119
13,0.9873849009443638,0.9920217710363122,267,0.9550561797752809,0.9896777903339531,0.03462161055867219
14,0.9920217710363122,1.0,267,0.9700374531835206,0.9948137814319826,0.024776328248461987
