bin,left,right,count,accuracy,confidence,gap
0,0.0,0.06666666666666667,1346,0.04011887072808321,0.032638636073119794,0.007480234654963419
1,0.06666666666666667,0.13333333333333333,458,0.04148471615720524,0.09278332232548402,0.051298606168278776
2,0.13333333333333333,0.2,110,0.045454545454545456,0.1610196188509233,0.11556507339637785
3,0.2,0.26666666666666666,45,0.0,0.22632864520398838,0.22632864520398838
4,0.26666666666666666,0.3333333333333333,16,0.0,0.29533900679172875,0.29533900679172875
5,0.3333333333333333,0.4,9,0.0,0.358651266439441,0.358651266439441
6,0.4,0.4666666666666667,3,0.3333333333333333,0.41905880194552547,0.08572546861219216
7,0.4666666666666667,0.5333333333333333,2,0.0,0.4948559711941697,0.4948559711941697
8,0.5333333333333333,0.6,0,,,0.0
9,0.6,0.6666666666666666,1,0.0,0.6138840078935651,0.6138840078935651
10,0.6666666666666666,0.7333333333333333,4,1.0,0.7005302910892997,0.29946970891070035
11,0.7333333333333333,0.8,6,1.0,0.7772972104915034,0.22270278950849665
12,0.8,0.8666666666666667,37,0.972972972972973,0.8441856017255605,0.12878737124741257
13,0.8666666666666667,0.9333333333333333,213,0.9483568075117371,0.9092741930107364,0.0390826145010007
14,0.9333333333333333,1.0,1750,0.9542857142857143,0.9768015048950813,0.022515790609367037
